,user_id,group,decision_rank,decision,left_age,right_age,left_dependents,right_dependents,left_drinking,right_drinking
0,0,nocf,1,1,0,1,0,0,0,0
1,0,nocf,2,1,0,2,0,0,0,0
2,0,nocf,3,0,1,1,0,0,0,1
3,1,nocf,1,0,0,1,0,0,0,0
4,0,nocf,4,0,4,1,0,0,0,2
5,0,nocf,5,1,2,1,0,0,2,2
6,1,nocf,2,0,0,2,0,0,0,0
7,0,nocf,6,1,1,1,0,0,2,0
8,1,nocf,3,0,1,1,0,0,0,1
9,1,nocf,4,0,4,1,0,0,0,2
10,2,cf,1,0,0,1,0,0,0,0
11,1,nocf,6,1,1,1,0,0,2,0
12,3,cf,1,0,0,1,0,0,0,0
13,2,cf,3,2,1,1,0,0,0,1
14,1,nocf,11,1,2,0,2,0,2,0
15,0,nocf,9,1,1,1,1,2,1,2
16,2,cf,5,1,2,1,0,0,2,2
17,4,cf,1,2,0,1,0,0,0,0
18,1,nocf,13,1,1,1,1,2,0,0
19,1,nocf,14,0,1,1,2,2,1,2
20,0,nocf,11,1,2,0,2,0,2,0
21,3,cf,4,1,4,1,0,0,0,2
22,4,cf,2,2,0,2,0,0,0,0
23,0,nocf,13,1,1,1,1,2,0,0
24,5,cf,1,2,0,1,0,0,0,0
25,2,cf,8,0,1,1,0,0,2,0
26,0,nocf,14,0,1,1,2,2,1,2
27,6,nocf,2,0,0,2,0,0,0,0
28,4,cf,3,0,1,1,0,0,0,1
29,7,nocf,1,1,0,1,0,0,0,0
30,2,cf,10,2,1,1,1,2,2,2
31,3,cf,7,1,2,2,0,2,2,2
32,8,nocf,2,0,0,2,0,0,0,0
33,4,cf,4,2,4,1,0,0,0,2
34,2,cf,11,1,2,0,2,0,2,0
35,4,cf,5,2,2,1,0,0,2,2
36,7,nocf,2,0,0,2,0,0,0,0
37,8,nocf,3,0,1,1,0,0,0,1
38,3,cf,8,0,1,1,0,0,2,0
39,2,cf,13,2,1,1,1,2,0,0
40,6,nocf,6,1,1,1,0,0,2,0
41,4,cf,6,1,1,1,0,0,2,0
42,9,nocf,2,0,0,2,0,0,0,0
43,10,cf,1,0,0,1,0,0,0,0
44,9,nocf,3,0,1,1,0,0,0,1
45,10,cf,2,0,0,2,0,0,0,0
46,3,cf,9,0,1,1,1,2,1,2
47,4,cf,7,1,2,2,0,2,2,2
48,9,nocf,4,1,4,1,0,0,0,2
49,6,nocf,8,0,1,1,0,0,2,0
50,11,nocf,4,1,4,1,0,0,0,2
51,3,cf,10,1,1,1,1,2,2,2
52,7,nocf,4,1,4,1,0,0,0,2
53,9,nocf,5,1,2,1,0,0,2,2
54,12,cf,3,2,1,1,0,0,0,1
55,0,nocf,7,1,2,2,0,2,2,2
56,1,nocf,5,1,2,1,0,0,2,2
57,1,nocf,7,1,2,2,0,2,2,2
58,2,cf,2,0,0,2,0,0,0,0
59,1,nocf,8,0,1,1,0,0,2,0
60,1,nocf,9,1,1,1,1,2,1,2
61,1,nocf,10,1,1,1,1,2,2,2
62,3,cf,2,0,0,2,0,0,0,0
63,0,nocf,8,0,1,1,0,0,2,0
64,2,cf,4,1,4,1,0,0,0,2
65,1,nocf,12,0,1,2,2,0,0,0
66,3,cf,3,0,1,1,0,0,0,1
67,0,nocf,10,1,1,1,1,2,2,2
68,2,cf,6,1,1,1,0,0,2,0
69,0,nocf,12,0,1,2,2,0,0,0
70,1,nocf,15,1,1,0,2,0,0,0
71,2,cf,7,1,2,2,0,2,2,2
72,6,nocf,1,0,0,1,0,0,0,0
73,11,nocf,1,0,0,1,0,0,0,0
74,3,cf,5,1,2,1,0,0,2,2
75,8,nocf,1,1,0,1,0,0,0,0
76,0,nocf,15,0,1,0,2,0,0,0
77,2,cf,9,2,1,1,1,2,1,2
78,6,nocf,3,0,1,1,0,0,0,1
79,3,cf,6,1,1,1,0,0,2,0
80,6,nocf,4,0,4,1,0,0,0,2
81,12,cf,1,0,0,1,0,0,0,0
82,6,nocf,5,1,2,1,0,0,2,2
83,2,cf,12,0,1,2,2,0,0,0
84,9,nocf,1,0,0,1,0,0,0,0
85,12,cf,2,0,0,2,0,0,0,0
86,11,nocf,2,0,0,2,0,0,0,0
87,11,nocf,3,0,1,1,0,0,0,1
88,7,nocf,3,0,1,1,0,0,0,1
89,2,cf,14,0,1,1,2,2,1,2
90,6,nocf,7,1,2,2,0,2,2,2
91,13,cf,1,0,0,1,0,0,0,0
92,10,cf,3,0,1,1,0,0,0,1
93,4,cf,8,2,1,1,0,0,2,0
94,10,cf,4,1,4,1,0,0,0,2
95,11,nocf,5,1,2,1,0,0,2,2
96,3,cf,11,1,2,0,2,0,2,0
97,14,cf,1,0,0,1,0,0,0,0
98,9,nocf,7,1,2,2,0,2,2,2
99,8,nocf,5,1,2,1,0,0,2,2
100,6,nocf,10,0,1,1,1,2,2,2
101,11,nocf,6,1,1,1,0,0,2,0
102,8,nocf,4,1,4,1,0,0,0,2
103,13,cf,2,0,0,2,0,0,0,0
104,9,nocf,6,1,1,1,0,0,2,0
105,6,nocf,9,0,1,1,1,2,1,2
106,4,cf,9,2,1,1,1,2,1,2
107,10,cf,5,1,2,1,0,0,2,2
108,13,cf,3,0,1,1,0,0,0,1
109,12,cf,4,1,4,1,0,0,0,2
110,10,cf,6,1,1,1,0,0,2,0
111,4,cf,10,2,1,1,1,2,2,2
112,3,cf,12,0,1,2,2,0,0,0
113,6,nocf,11,1,2,0,2,0,2,0
114,14,cf,2,0,0,2,0,0,0,0
115,10,cf,7,1,2,2,0,2,2,2
116,6,nocf,12,0,1,2,2,0,0,0
117,2,cf,15,0,1,0,2,0,0,0
118,8,nocf,6,1,1,1,0,0,2,0
119,7,nocf,6,1,1,1,0,0,2,0
120,6,nocf,13,1,1,1,1,2,0,0
121,9,nocf,10,1,1,1,1,2,2,2
122,6,nocf,14,0,1,1,2,2,1,2
123,10,cf,9,0,1,1,1,2,1,2
124,14,cf,3,0,1,1,0,0,0,1
125,4,cf,13,2,1,1,1,2,0,0
126,3,cf,15,0,1,0,2,0,0,0
127,6,nocf,15,0,1,0,2,0,0,0
128,10,cf,10,2,1,1,1,2,2,2
129,9,nocf,12,0,1,2,2,0,0,0
130,12,cf,6,2,1,1,0,0,2,0
131,13,cf,5,2,2,1,0,0,2,2
132,4,cf,15,0,1,0,2,0,0,0
133,12,cf,7,1,2,2,0,2,2,2
134,13,cf,7,1,2,2,0,2,2,2
135,9,nocf,15,1,1,0,2,0,0,0
136,10,cf,14,0,1,1,2,2,1,2
137,14,cf,6,1,1,1,0,0,2,0
138,11,nocf,10,1,1,1,1,2,2,2
139,8,nocf,9,0,1,1,1,2,1,2
140,15,cf,1,2,0,1,0,0,0,0
141,10,cf,15,1,1,0,2,0,0,0
142,14,cf,7,1,2,2,0,2,2,2
143,11,nocf,11,1,2,0,2,0,2,0
144,16,cf,1,0,0,1,0,0,0,0
145,8,nocf,10,1,1,1,1,2,2,2
146,13,cf,9,0,1,1,1,2,1,2
147,11,nocf,12,0,1,2,2,0,0,0
148,13,cf,11,1,2,0,2,0,2,0
149,7,nocf,5,0,2,1,0,0,2,2
150,9,nocf,8,0,1,1,0,0,2,0
