,user_id,decision,decision_rank,left_1,left_2,left_3,right_1,right_2,right_3,delay
0,0,0,12,46,1,2,43,5,0,6257
1,0,0,9,38,1,2,69,4,2,3671
2,0,0,20,35,3,0,69,3,1,6141
3,0,1,15,55,5,0,64,3,2,5814
4,0,1,38,53,2,1,33,3,0,3912
5,0,1,6,45,5,1,35,4,0,6381
6,0,0,4,51,3,1,68,2,0,13537
7,0,0,10,25,3,1,56,1,0,6168
8,0,1,11,61,1,0,26,2,1,4518
9,0,0,33,49,1,1,42,2,1,4664
10,0,1,8,27,4,0,35,4,1,5871
11,0,0,43,42,3,2,25,3,0,7791
12,0,0,0,68,1,0,38,5,0,34465
13,0,1,24,59,2,0,33,1,0,5181
14,0,1,35,53,2,0,47,2,2,3946
15,0,1,41,56,5,0,62,3,0,4506
16,0,0,40,30,5,0,51,4,0,5023
17,0,1,25,54,3,1,34,5,0,8084
18,0,1,17,50,3,0,32,4,1,4411
19,0,0,37,30,2,0,30,4,0,3291
20,0,1,26,31,5,1,31,1,1,4001
21,0,0,32,34,5,2,63,2,1,5134
22,0,0,2,26,2,1,56,1,1,47076
23,0,1,16,57,5,0,58,2,0,4574
24,0,1,23,69,2,2,35,1,2,3790
25,0,1,42,55,3,2,26,3,2,3464
26,0,0,39,30,4,1,48,4,2,6224
27,0,0,18,25,1,2,67,5,2,4530
28,0,1,21,70,4,2,48,5,0,4413
29,0,0,28,62,1,2,57,2,2,5672
30,0,0,19,40,1,1,30,5,2,4788
31,0,0,36,31,4,2,56,5,0,3106
32,0,1,29,62,3,1,27,5,1,19676
33,0,0,3,43,3,0,69,2,2,8765
34,0,1,31,58,1,0,55,1,0,4733
35,0,1,22,66,5,0,50,5,1,5582
36,0,0,1,29,2,2,62,5,0,9198
37,0,0,30,45,2,0,36,5,2,7685
38,0,0,7,39,5,0,52,5,2,20294
39,0,0,14,41,4,1,30,5,0,4457
40,1,1,33,58,5,0,70,3,0,15200
41,1,0,24,34,1,2,40,4,1,7586
42,1,1,41,37,3,2,25,3,0,12924
43,1,0,8,44,1,1,47,4,2,9381
44,1,1,31,53,4,2,38,4,2,7292
45,1,0,13,57,1,1,70,5,2,8531
46,1,1,39,70,2,0,67,1,0,6699
47,1,0,23,25,1,0,56,1,2,8558
48,1,0,11,25,4,0,66,2,0,8601
49,1,0,26,29,2,1,68,5,1,4924
50,1,0,1,26,5,1,35,5,0,9468
51,1,1,7,38,5,2,52,3,2,20225
52,1,0,5,27,3,2,38,2,1,21773
53,1,0,2,42,5,1,39,5,0,128652
54,1,0,12,37,5,2,69,4,0,6402
55,1,0,22,26,2,2,61,3,2,4817
56,1,1,4,62,4,1,50,2,2,243324
57,1,1,42,69,5,2,50,5,1,5667
58,1,0,29,42,4,1,43,4,1,9400
59,1,0,3,40,1,1,70,5,0,9976
60,1,1,25,47,2,0,33,1,0,6597
61,1,1,43,69,5,1,33,4,1,5824
62,1,0,17,60,1,0,69,4,0,7724
63,1,0,30,48,3,2,53,5,1,7277
64,1,0,21,45,3,2,53,5,0,6019
65,1,1,10,27,4,0,26,4,1,20757
66,1,1,28,63,3,1,36,5,0,16418
67,1,0,32,27,3,2,67,5,2,90172
68,1,1,9,59,4,2,50,1,0,11697
69,1,0,16,32,3,2,52,2,0,10321
