,user_id,decision_rank,decision,cf_decision,left_1,left_2,left_3,right_1,right_2,right_3
0,0,0,0,0,68,1,0,38,5,0
1,0,1,0,0,29,2,2,62,5,0
2,0,2,1,0,26,2,1,56,1,1
3,0,3,1,0,43,3,0,69,2,2
4,0,4,0,0,51,3,1,68,2,0
5,0,6,0,1,45,5,1,35,4,0
6,0,7,1,0,39,5,0,52,5,2
7,0,8,1,1,27,4,0,35,4,1
8,0,9,0,0,38,1,2,69,4,2
9,0,10,1,0,25,3,1,56,1,0
10,0,11,1,1,61,1,0,26,2,1
11,0,12,0,0,46,1,2,43,5,0
12,0,14,0,0,41,4,1,30,5,0
13,0,15,1,1,55,5,0,64,3,2
14,0,16,1,1,57,5,0,58,2,0
15,0,17,1,1,50,3,0,32,4,1
16,0,18,0,0,25,1,2,67,5,2
17,0,19,0,0,40,1,1,30,5,2
18,0,20,1,0,35,3,0,69,3,1
19,0,21,0,1,70,4,2,48,5,0
20,0,22,1,1,66,5,0,50,5,1
21,0,23,1,1,69,2,2,35,1,2
22,0,24,1,1,59,2,0,33,1,0
23,0,25,0,1,54,3,1,34,5,0
24,0,26,1,1,31,5,1,31,1,1
25,0,28,0,0,62,1,2,57,2,2
26,0,29,0,1,62,3,1,27,5,1
27,0,30,0,0,45,2,0,36,5,2
28,0,31,0,1,58,1,0,55,1,0
29,0,32,0,0,34,5,2,63,2,1
30,0,33,1,0,49,1,1,42,2,1
31,0,35,1,1,53,2,0,47,2,2
32,0,36,0,0,31,4,2,56,5,0
33,0,37,0,0,30,2,0,30,4,0
34,0,38,0,1,53,2,1,33,3,0
35,0,39,1,0,30,4,1,48,4,2
36,0,40,1,0,30,5,0,51,4,0
37,0,41,1,1,56,5,0,62,3,0
38,0,42,0,1,55,3,2,26,3,2
39,0,43,0,0,42,3,2,25,3,0
40,1,0,1,1,60,4,2,29,3,1
41,1,1,0,0,26,5,1,35,5,0
42,1,2,0,0,42,5,1,39,5,0
43,1,3,0,0,40,1,1,70,5,0
44,1,4,1,1,62,4,1,50,2,2
45,1,5,0,0,27,3,2,38,2,1
46,1,7,1,1,38,5,2,52,3,2
47,1,8,0,0,44,1,1,47,4,2
48,1,9,0,1,59,4,2,50,1,0
49,1,10,0,1,27,4,0,26,4,1
50,1,11,0,0,25,4,0,66,2,0
51,1,12,0,0,37,5,2,69,4,0
52,1,13,0,0,57,1,1,70,5,2
53,1,14,1,1,63,3,0,34,5,0
54,1,15,1,0,68,1,0,43,5,2
55,1,16,0,0,32,3,2,52,2,0
56,1,17,0,0,60,1,0,69,4,0
57,1,18,1,1,69,3,1,31,5,1
58,1,20,1,1,54,5,1,30,4,2
59,1,21,0,0,45,3,2,53,5,0
60,1,22,0,0,26,2,2,61,3,2
61,1,23,0,0,25,1,0,56,1,2
62,1,24,0,0,34,1,2,40,4,1
63,1,25,1,1,47,2,0,33,1,0
64,1,26,0,0,29,2,1,68,5,1
65,1,28,1,1,63,3,1,36,5,0
66,1,29,0,0,42,4,1,43,4,1
67,1,30,0,0,48,3,2,53,5,1
68,1,31,1,1,53,4,2,38,4,2
69,1,32,0,0,27,3,2,67,5,2
70,1,33,0,1,58,5,0,70,3,0
71,1,34,0,0,29,1,2,60,4,1
72,1,36,0,0,39,2,1,68,2,0
73,1,37,0,1,67,3,2,54,4,1
74,1,38,1,1,60,2,2,43,2,1
75,1,39,1,1,70,2,0,67,1,0
76,1,40,0,0,39,1,2,69,2,1
77,1,41,0,1,37,3,2,25,3,0
78,1,42,0,1,69,5,2,50,5,1
79,1,43,1,1,69,5,1,33,4,1
80,2,0,1,1,57,2,1,38,3,2
81,2,1,1,1,66,1,1,50,4,2
82,2,2,0,0,26,1,2,44,4,2
83,2,3,0,2,54,1,2,57,3,2
84,2,4,1,1,49,4,1,30,1,1
85,2,5,0,0,27,3,1,32,3,0
86,2,7,1,1,51,4,1,46,1,2
87,2,8,1,1,46,3,1,45,4,2
88,2,9,0,0,43,5,0,65,4,0
89,2,10,0,1,35,5,0,53,1,2
90,2,11,1,1,49,3,1,38,1,2
91,2,12,0,0,37,5,2,62,5,0
92,2,13,0,2,35,1,0,45,2,0
93,2,14,0,0,47,2,2,57,2,0
94,2,15,1,0,68,1,2,66,2,0
95,2,16,1,1,46,3,0,39,1,2
96,2,17,1,1,67,3,0,67,1,2
97,2,18,1,1,46,3,1,40,1,2
98,2,19,1,1,41,1,0,55,4,2
99,2,20,0,1,43,3,1,68,5,2
100,2,22,1,2,66,1,2,60,3,2
101,2,24,1,1,58,1,0,57,1,1
102,2,25,1,2,56,2,2,52,1,1
103,2,26,0,2,64,5,1,59,1,1
104,2,27,1,2,69,4,0,65,5,0
105,2,28,1,0,31,1,1,37,5,1
106,2,29,1,0,54,3,2,30,2,1
107,2,30,1,1,43,1,1,40,2,2
108,2,31,1,2,66,5,0,32,4,0
109,2,32,0,0,65,1,1,64,2,0
110,2,33,1,1,38,5,0,60,4,1
111,2,34,1,2,27,5,1,44,4,1
112,2,35,0,0,54,1,2,60,3,0
113,2,36,0,0,42,4,1,42,4,0
114,2,37,0,0,26,3,2,61,4,1
115,2,38,0,0,58,3,2,63,1,0
116,2,39,0,0,58,2,2,62,5,0
117,2,40,0,0,63,4,1,53,4,0
118,2,41,0,0,42,4,1,41,4,0
119,2,42,1,1,44,3,1,34,4,2
120,2,43,1,0,69,5,2,38,1,0
121,3,0,1,1,67,5,1,27,5,2
122,3,1,1,1,67,1,2,37,4,2
123,3,2,1,1,70,2,1,67,1,1
124,3,3,0,0,30,3,1,53,5,0
125,3,4,1,1,45,4,2,33,3,2
126,3,5,1,1,48,2,2,36,3,2
127,3,6,1,1,70,1,1,48,2,1
128,3,7,1,1,66,3,2,41,3,2
129,3,9,0,0,62,2,1,66,3,0
130,3,10,0,0,43,2,1,42,5,1
131,3,11,1,1,58,5,2,33,2,2
132,3,13,0,0,47,3,1,69,2,2
133,3,14,1,1,43,1,0,26,4,1
134,3,15,1,1,70,1,2,28,5,1
135,3,16,1,1,68,2,2,58,3,1
136,3,17,1,1,48,3,2,26,3,1
137,3,18,0,1,62,2,0,57,5,2
138,3,19,1,0,38,2,2,34,1,0
139,3,20,1,0,36,2,1,31,2,0
140,3,21,1,1,48,1,1,31,1,2
141,3,22,1,1,56,3,0,32,2,2
142,3,23,1,1,62,5,0,49,2,2
143,3,24,1,1,70,3,2,40,5,2
144,3,25,1,1,60,3,1,46,2,2
145,3,26,1,1,38,5,0,30,3,2
146,3,27,1,1,68,5,0,51,5,0
147,3,28,1,1,59,5,0,35,5,2
148,3,29,1,1,52,5,0,34,5,0
149,3,30,0,0,54,1,1,44,5,0
150,3,32,1,1,49,4,0,62,2,1
151,3,33,0,0,27,3,2,49,2,1
152,3,34,1,1,55,4,1,52,3,2
153,3,36,0,0,34,4,1,52,3,0
154,3,37,0,2,28,4,0,48,3,2
155,3,38,0,0,29,4,1,62,3,1
156,3,39,1,1,53,5,1,39,5,1
157,3,40,0,0,68,1,2,70,3,1
158,3,41,1,1,52,3,0,36,3,0
159,3,42,1,1,68,1,2,31,4,2
160,3,43,0,0,52,4,2,60,3,1
161,4,0,0,1,30,1,1,47,4,1
162,4,1,1,0,68,3,2,53,4,2
163,4,2,0,0,53,5,1,49,4,0
164,4,3,1,1,61,5,1,50,2,2
165,4,4,0,0,26,2,1,54,5,0
166,4,5,0,1,32,3,0,55,1,2
167,4,6,1,1,51,3,0,25,1,2
168,4,7,1,0,66,4,1,48,2,0
169,4,8,0,0,43,4,1,70,5,0
170,4,9,1,0,67,5,1,40,4,0
171,4,11,1,2,50,3,1,47,1,1
172,4,12,0,2,30,3,2,52,3,2
173,4,13,0,0,27,3,2,43,1,1
174,4,14,1,0,54,2,2,29,2,0
175,4,15,1,1,41,4,0,52,2,1
176,4,16,0,0,60,3,1,65,4,0
177,4,17,1,1,40,1,1,40,2,2
178,4,19,0,2,55,1,1,52,3,1
179,4,20,1,0,48,5,0,68,1,0
180,4,21,0,0,45,2,1,37,1,0
181,4,22,0,0,42,5,2,49,5,0
182,4,23,1,2,30,4,1,28,2,1
183,4,24,1,1,52,4,1,27,4,2
184,4,25,1,0,57,1,2,41,2,1
185,4,26,0,0,36,3,2,29,5,0
186,4,28,1,1,59,4,1,29,3,2
187,4,29,1,2,47,1,2,27,5,2
188,4,30,0,0,64,2,1,69,3,0
189,4,31,0,2,43,2,0,70,3,0
190,4,32,1,1,55,3,0,52,4,2
191,4,33,0,0,59,5,2,44,5,0
192,4,35,1,1,61,5,1,33,1,2
193,4,36,0,0,30,3,2,35,5,1
194,4,37,0,0,55,3,1,59,4,0
195,4,38,1,0,49,2,1,26,3,0
196,4,39,1,1,57,3,1,26,3,2
197,4,40,1,0,54,4,2,32,2,1
198,4,41,1,2,58,3,0,42,4,0
199,4,42,0,0,44,1,2,64,1,1
200,4,43,0,0,52,2,1,36,3,0
201,5,0,0,0,37,3,0,57,3,0
202,5,1,1,1,35,3,0,32,3,1
